Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Myles Lewis-Skelly,141.0,6287,0.0629,21967870.21,6.42e-06
Jamal Musiala,158.0,5696,0.057,21966994.38,7.19e-06
Thomas Partey,155.0,7804,0.078,21960276.78,7.06e-06
Ricardo Horta,153.0,6743,0.0674,21958772.06,6.97e-06
Bryan Mbeumo,144.0,6702,0.067,21957773.8,6.56e-06
Ben Davies,140.0,7174,0.0717,21957067.19,6.38e-06
Nicolás González,152.0,6561,0.0656,21956866.33,6.92e-06
Héctor Bellerín,141.0,7229,0.0723,21954212.2,6.42e-06
Ferran Torres,150.0,6520,0.0652,21950766.87,6.83e-06
Mathías Olivera,142.0,5334,0.0533,21949006.37,6.47e-06
Olivier Giroud,156.0,4480,0.0448,21940401.79,7.11e-06
Konrad Laimer,149.0,7887,0.0789,21940154.68,6.79e-06
Marten de Roon,146.0,2969,0.0297,21938363.09,6.66e-06
John Stones,166.0,8780,0.0878,21934396.36,7.57e-06
Alejandro Catena,140.0,4929,0.0493,21931629.13,6.38e-06
Mario Hermoso,144.0,7153,0.0715,21928002.24,6.57e-06
Rodrigo De Paul,153.0,5497,0.055,21913953.07,6.98e-06
Ibrahim Sangaré,145.0,2826,0.0283,21909766.45,6.62e-06
Kevin Danso,140.0,5105,0.051,21906758.08,6.39e-06
Sven Botman,156.0,7155,0.0716,21896715.58,7.12e-06
Carlos Augusto,146.0,5442,0.0544,21892686.51,6.67e-06
Kylian Mbappé,188.0,6681,0.0668,21891932.35,8.59e-06
Cristiano Biraghi,141.0,5358,0.0536,21890444.2,6.44e-06
Alfonso Pedraza,144.0,6387,0.0639,21888210.43,6.58e-06
Nico Schlotterbeck,145.0,7305,0.0731,21884462.7,6.63e-06
Lucas Hernández,161.0,7059,0.0706,21875336.45,7.36e-06
Rico Lewis,144.0,7873,0.0787,21875015.88,6.58e-06
Denzel Dumfries,151.0,7202,0.072,21874618.16,6.9e-06
Reece James,161.0,8741,0.0874,21871067.38,7.36e-06
Destiny Udogie,146.0,5517,0.0552,21870219.32,6.68e-06
Ollie Watkins,146.0,6687,0.0669,21861522.36,6.68e-06
Kieran Trippier,159.0,7183,0.0718,21858276.49,7.27e-06
Dani Carvajal,155.0,7216,0.0722,21855598.67,7.09e-06
Edon Zhegrova,143.0,5569,0.0557,21837313.7,6.55e-06
Yan Couto,151.0,8587,0.0859,21832537.56,6.92e-06
Trevoh Chalobah,148.0,8894,0.0889,21827636.61,6.78e-06
Rodrigo Riquelme,141.0,7622,0.0762,21826817.11,6.46e-06
Kurt Zouma,150.0,8404,0.084,21824369.35,6.87e-06
Christoph Baumgartner,140.0,5053,0.0505,21808430.64,6.42e-06
Lutsharel Geertruida,146.0,8835,0.0883,21805659.31,6.7e-06
Danilo,151.0,9918,0.0992,21794716.68,6.93e-06
João Cancelo,158.0,8912,0.0891,21781193.9,7.25e-06
Trent Alexander-Arnold,162.0,7815,0.0781,21780678.18,7.44e-06
Rico Henry,145.0,5352,0.0535,21780269.06,6.66e-06
Warren Zaïre-Emery,148.0,2909,0.0291,21779993.12,6.8e-06
Joshua Kimmich,174.0,7776,0.0778,21778034.98,7.99e-06
Joe Gomez,151.0,9621,0.0962,21767383.85,6.94e-06
Benjamin Henrichs,145.0,8841,0.0884,21759077.03,6.66e-06
Kyle Walker,164.0,7230,0.0723,21755739.97,7.54e-06
Kenny Tete,140.0,7290,0.0729,21755555.56,6.44e-06
Alexis Saelemaekers,140.0,8777,0.0878,21753332.57,6.44e-06
Pepê,150.0,8744,0.0874,21751944.19,6.9e-06
Benjamin Pavard,156.0,8548,0.0855,21751637.81,7.17e-06
Juan Foyth,145.0,8859,0.0886,21740828.54,6.67e-06
Lukas Klostermann,143.0,9757,0.0976,21740596.49,6.58e-06
Diogo Dalot,144.0,8878,0.0888,21728091.91,6.63e-06
Odilon Kossounou,140.0,8440,0.0844,21722748.82,6.44e-06
Matthias Ginter,143.0,8600,0.086,21722558.14,6.58e-06
Pedro Porro,154.0,7308,0.0731,21720443.35,7.09e-06
Jonathan Tah,149.0,8365,0.0837,21718828.45,6.86e-06
Jonathan Clauss,145.0,7476,0.0748,21688336.01,6.69e-06
Lucas Vázquez,146.0,8640,0.0864,21680092.59,6.73e-06
Ramy Bensebaïni,143.0,7159,0.0716,21679843.55,6.6e-06
Tyler Adams,142.0,7955,0.0795,21679446.89,6.55e-06
Evan N'Dicka,143.0,7227,0.0723,21667912.0,6.6e-06
Adam Maruic,142.0,8918,0.0892,21639268.89,6.56e-06
Nahuel Molina,149.0,7292,0.0729,21636313.77,6.89e-06
Miguel Gutiérrez,150.0,5372,0.0537,21629560.69,6.93e-06
Micky van de Ven,147.0,7211,0.0721,21628484.26,6.8e-06
Jurriën Timber,148.0,9524,0.0952,21620117.6,6.85e-06
Tino Livramento,140.0,8877,0.0888,21614847.36,6.48e-06
Pierre Kalulu,142.0,8445,0.0844,21607578.45,6.57e-06
